user_id,first_seen_timestamp,user_type,is_employee,is_test_account,is_bot
U000001,2025-09-08 07:12:07,returning,False,False,False
U000002,2025-12-28 01:13:41,returning,False,False,False
U000003,2026-07-10 00:46:35,new,False,False,False
U000004,2025-10-14 23:14:42,returning,False,False,False
U000005,2026-07-11 23:13:55,new,False,False,False
U000006,2026-01-17 08:44:19,returning,False,False,False
U000007,2025-11-11 09:52:53,returning,False,False,False
U000008,2025-07-29 06:26:42,returning,False,False,False
U000009,2025-12-15 09:36:46,returning,False,False,False
U000010,2026-07-08 08:48:52,new,False,False,False
U000011,2026-06-13 01:36:49,returning,False,False,False
U000012,2025-07-11 08:57:50,returning,False,False,False
U000013,2026-05-11 04:36:54,returning,False,False,False
U000014,2026-07-02 12:25:59,new,False,False,False
U000015,2025-08-14 08:03:32,returning,False,False,False
U000016,2026-07-07 20:31:03,new,False,False,False
U000017,2026-05-18 14:10:32,returning,False,False,False
U000018,2026-05-28 02:29:45,returning,False,False,False
U000019,2026-07-14 13:44:39,new,False,False,False
U000020,2026-07-11 10:29:57,new,False,False,False
U000021,2026-03-02 05:53:05,returning,False,False,False
U000022,2025-09-27 01:16:20,returning,False,False,False
U000023,2025-12-07 09:14:03,returning,False,False,False
U000024,2025-08-14 01:49:19,returning,False,False,False
U000025,2026-07-13 23:16:05,new,False,False,False
U000026,2025-12-13 19:04:19,returning,False,False,False
U000027,2026-07-08 13:30:06,new,False,False,False
U000028,2025-10-15 20:39:16,returning,False,False,False
U000029,2025-09-22 20:29:28,returning,False,False,False
U000030,2026-07-09 08:46:15,new,False,False,False
U000031,2026-05-09 14:22:22,returning,False,False,False
U000032,2026-03-12 16:26:37,returning,False,False,False
U000033,2025-07-26 08:59:56,returning,False,False,False
U000034,2026-07-05 12:35:47,new,False,False,False
U000035,2025-08-28 20:55:49,returning,False,False,False
U000036,2026-07-03 20:07:33,new,False,False,False
U000037,2025-08-31 13:59:56,returning,False,False,False
U000038,2026-07-01 10:48:19,new,False,False,False
U000039,2026-07-01 02:35:36,new,False,False,False
U000040,2025-11-27 19:58:58,returning,False,False,False
U000041,2026-02-10 12:45:00,returning,False,False,False
U000042,2026-05-30 04:13:40,returning,False,False,False
U000043,2026-07-02 02:49:08,new,False,False,False
U000044,2026-04-04 13:31:40,returning,False,False,False
U000045,2025-12-02 21:56:42,returning,False,False,False
U000046,2026-07-05 22:54:54,new,False,False,False
U000047,2026-04-20 15:41:45,returning,False,False,False
U000048,2026-07-09 20:09:08,new,False,False,False
U000049,2026-07-13 09:09:23,new,False,False,False
U000050,2025-08-06 01:03:00,returning,False,False,False
U000051,2026-06-13 11:48:20,returning,False,False,False
U000052,2025-12-13 19:38:09,returning,False,False,False
U000053,2025-09-07 14:29:48,returning,False,False,False
U000054,2026-07-07 01:08:24,new,False,False,False
U000055,2026-07-05 02:52:59,new,False,False,False
U000056,2025-12-11 09:25:39,returning,False,False,False
U000057,2026-06-02 15:19:28,returning,False,False,False
U000058,2025-08-22 02:29:54,returning,False,False,False
U000059,2026-01-08 05:53:56,returning,False,False,False
U000060,2026-04-11 05:01:50,returning,False,False,False
U000061,2026-07-14 01:04:49,new,False,False,False
U000062,2025-09-23 22:41:55,returning,False,False,False
U000063,2026-07-08 13:34:48,new,False,False,False
U000064,2025-10-21 12:43:45,returning,False,False,False
U000065,2025-12-18 13:25:04,returning,False,False,False
U000066,2026-05-07 04:06:19,returning,False,False,False
U000067,2025-10-03 11:08:31,returning,False,False,False
U000068,2026-06-13 20:06:29,returning,False,False,False
U000069,2025-08-15 01:46:18,returning,False,False,False
