user_id,signup_date,country,device
1,2026-04-13,US,desktop
2,2026-06-29,China,mobile
3,2026-04-03,Canada,mobile
4,2026-01-15,US,desktop
5,2026-04-17,Mexico,desktop
6,2026-03-13,Mexico,desktop
7,2026-01-21,Mexico,mobile
8,2026-04-13,Mexico,mobile
9,2026-05-02,Mexico,mobile
10,2026-03-16,US,mobile
11,2026-03-29,US,desktop
12,2026-04-27,Canada,desktop
13,2026-04-10,China,desktop
14,2026-04-14,US,desktop
15,2026-06-01,US,mobile
16,2026-05-11,Canada,desktop
17,2026-05-30,US,mobile
18,2026-02-22,Canada,mobile
19,2026-01-02,Mexico,mobile
20,2026-03-29,Canada,mobile
21,2026-06-07,US,mobile
22,2026-02-07,US,tablet
23,2026-05-10,US,mobile
24,2026-01-21,US,mobile
25,2026-06-10,US,mobile
26,2026-02-27,US,desktop
27,2026-01-22,US,mobile
28,2026-03-30,US,desktop
29,2026-02-18,US,mobile
30,2026-02-28,US,desktop
31,2026-06-19,US,mobile
32,2026-01-15,Canada,desktop
33,2026-06-24,Canada,desktop
34,2026-02-20,US,mobile
35,2026-04-18,Mexico,mobile
36,2026-02-24,US,mobile
37,2026-03-05,Canada,mobile
38,2026-05-11,US,mobile
39,2026-02-20,China,desktop
40,2026-05-15,Mexico,mobile
41,2026-01-21,Canada,mobile
42,2026-03-14,Mexico,mobile
43,2026-06-16,US,mobile
44,2026-01-18,US,desktop
45,2026-05-12,Canada,mobile
46,2026-03-30,US,desktop
47,2026-03-01,Mexico,desktop
48,2026-01-14,US,desktop
49,2026-01-09,US,desktop
50,2026-03-31,US,mobile
51,2026-02-22,US,tablet
52,2026-05-10,Canada,mobile
53,2026-03-25,US,mobile
54,2026-04-02,US,desktop
55,2026-04-21,US,desktop
56,2026-06-21,US,desktop
57,2026-01-08,Mexico,mobile
58,2026-06-24,US,mobile
59,2026-02-04,US,desktop
60,2026-03-22,US,mobile
61,2026-06-13,Canada,desktop
62,2026-02-19,US,desktop
63,2026-04-14,Mexico,mobile
64,2026-05-12,China,mobile
65,2026-01-02,US,mobile
66,2026-05-14,US,mobile
67,2026-02-23,US,desktop
68,2026-04-16,US,mobile
69,2026-01-04,Canada,desktop
70,2026-02-23,China,mobile
71,2026-05-26,US,tablet
72,2026-02-13,US,mobile
73,2026-06-11,US,mobile
74,2026-01-14,Canada,mobile
75,2026-04-05,US,desktop
76,2026-02-17,US,desktop
77,2026-01-15,China,desktop
78,2026-02-09,Mexico,mobile
79,2026-03-23,US,mobile
80,2026-04-21,Canada,mobile
81,2026-02-22,Mexico,mobile
82,2026-01-24,US,mobile
83,2026-06-03,US,tablet
84,2026-05-04,US,tablet
85,2026-02-10,US,desktop
86,2026-06-06,Mexico,desktop
87,2026-01-15,China,mobile
88,2026-02-14,US,mobile
89,2026-03-06,US,mobile
90,2026-03-30,US,desktop
91,2026-03-12,US,mobile
92,2026-01-09,Mexico,mobile
93,2026-03-29,US,mobile
94,2026-05-09,US,mobile
95,2026-05-16,US,desktop
96,2026-03-04,Canada,desktop
97,2026-05-19,US,mobile
98,2026-03-22,Canada,tablet
99,2026-05-16,US,desktop
100,2026-06-12,Mexico,mobile
101,2026-06-12,Canada,mobile
102,2026-02-02,US,mobile
103,2026-05-03,US,mobile
104,2026-01-05,Mexico,tablet
105,2026-02-10,China,mobile
